Time_sec,Car_ID,sigAcc,sigFollowing,sigFrameId,sigGlobalX,sigGlobalY,sigLocalX,sigLocalY,sigPreceding,sigSpaceHeadway,sigTimeHeadway,sigTotalFrames,sigVel,v_Length,v_Width,v_Class,Lane_ID
2.0,12.0,1.5609465687769,-1.0,1.0,159.54756424217,-21.88429530758,0.0,6.6609465687769,-1.0,-1.0,-1.0,100.0,1.5609465687769,5.0,1.8,1.0,11.0
2.0,14.0,1.528189688758,-1.0,1.0,198.76541957475,-19.650292330219,0.0,6.628189688758,7.0,115.32181031124,75.463020827583,100.0,1.528189688758,5.0,1.8,1.0,4.0
2.0,16.0,1.7215491539333,-1.0,1.0,313.39985969637,148.11021945992,0.0,6.8215491539333,-1.0,-1.0,-1.0,100.0,1.7215491539333,5.0,1.8,1.0,25.0
3.0,4.0,1.7162051725201,11.0,1.0,157.85610348623,-24.594382218642,0.0,6.8162051725201,13.0,98.131162110046,57.179155313899,100.0,1.7162051725201,5.0,1.8,1.0,27.0
3.0,12.0,2.3290013018763,10.0,2.0,161.44159847531,-19.286902038697,0.0,10.55089443943,-1.0,-1.0,-1.0,100.0,3.8899478706531,5.0,1.8,1.0,30.0
3.0,14.0,1.4788391654845,13.0,2.0,199.11156776496,-19.22865684077,0.0,9.6352185430005,7.0,113.61844120643,37.784286986846,100.0,3.0070288542425,5.0,1.8,1.0,4.0
3.0,16.0,2.1747559851734,-1.0,2.0,313.2576580659,148.11035506224,0.0,10.71785429304,-1.0,-1.0,-1.0,100.0,3.8963051391067,5.0,1.8,1.0,25.0
4.0,4.0,2.5530080158263,11.0,2.0,158.16834726599,-24.779456743113,0.0,11.085418360867,13.0,100.45325051409,23.529687106818,100.0,4.2692131883465,5.0,1.8,1.0,27.0
4.0,12.0,1.9275127517292,10.0,3.0,163.29094870533,-16.660872087911,0.0,16.368355061812,-1.0,-1.0,-1.0,100.0,5.8174606223823,5.0,1.8,1.0,1.0
4.0,14.0,2.3642453478184,13.0,3.0,199.72304074544,-18.470229475653,0.0,15.006492745061,7.0,111.21440491772,20.705404478335,100.0,5.3712742020609,5.0,1.8,1.0,4.0
4.0,16.0,2.5418741665548,-1.0,3.0,313.03217638997,148.11057007973,0.0,17.156033598701,-1.0,-1.0,-1.0,100.0,6.4381793056615,5.0,1.8,1.0,25.0
